table_name,field_name,field_type,nullable,primary_key,default_value,comment,category
production_work_order,work_order_id,INTEGER,NO,YES,auto_increment,主键,业务表
production_work_order,work_order_no,VARCHAR(50),NO,NO,,工单编号,业务表
production_work_order,order_id,INTEGER,YES,NO,,生产订单ID,业务表
production_work_order,order_no,VARCHAR(50),YES,NO,,订单编号,业务表
production_work_order,line_id,INTEGER,YES,NO,,产线ID,业务表
production_work_order,line_name,VARCHAR(100),YES,NO,,产线名称,业务表
production_work_order,material_id,UUID,YES,NO,,料品ID,业务表
production_work_order,material_name,VARCHAR(100),YES,NO,,料品名称,业务表
production_work_order,target_qty,DECIMAL(12,2),YES,NO,0,目标数量,业务表
production_work_order,planned_qty,DECIMAL(12,2),YES,NO,0,计划数量,业务表
production_work_order,finished_qty,DECIMAL(12,2),YES,NO,0,完工数量,业务表
production_work_order,start_qty,DECIMAL(12,2),YES,NO,0,开工数量,业务表
production_work_order,qualified_qty,DECIMAL(12,2),YES,NO,0,合格数量,业务表
production_work_order,defect_material,DECIMAL(12,2),YES,NO,0,来料不良,业务表
production_work_order,defect_process,DECIMAL(12,2),YES,NO,0,制程不良,业务表
production_work_order,defect_scrap,DECIMAL(12,2),YES,NO,0,检验报废,业务表
production_work_order,plan_start_time,DATETIME,YES,NO,,计划开始时间,业务表
production_work_order,plan_end_time,DATETIME,YES,NO,,计划完成时间,业务表
production_work_order,start_time,DATETIME,YES,NO,,开工时间,业务表
production_work_order,finish_time,DATETIME,YES,NO,,完工时间,业务表
production_work_order,total_hours,DECIMAL(10,2),YES,NO,0,总工时,业务表
production_work_order,effective_hours,DECIMAL(10,2),YES,NO,0,有效工时,业务表
production_work_order,labor_hours,DECIMAL(10,2),YES,NO,0,人工工时,业务表
production_work_order,status,TINYINT,YES,NO,0,状态(0开立/1开工/2关闭),业务表
production_work_order,report_status,TINYINT,YES,NO,0,报工状态(0开始/1结束),业务表
production_work_order,created_by,VARCHAR(50),YES,NO,,创建人,业务表
production_work_order,remarks,VARCHAR(500),YES,NO,,备注,业务表
production_work_order,created_at,DATETIME,YES,NO,,创建时间,业务表
production_work_order,updated_at,DATETIME,YES,NO,,更新时间,业务表
production_work_order_process,id,INTEGER,NO,YES,auto_increment,主键,业务表
production_work_order_process,work_order_id,INTEGER,NO,NO,,生产工单ID(外键),业务表
production_work_order_process,process_id,INTEGER,NO,NO,,工序ID(外键),业务表
production_work_order_process,process_code,VARCHAR(30),NO,NO,,工序编码,业务表
production_work_order_process,process_name,VARCHAR(50),NO,NO,,工序名称,业务表
production_work_order_process,has_material,TINYINT,YES,NO,0,是否引入物料(0否/1是),业务表
production_work_order_process,sort_order,INTEGER,YES,NO,0,工序顺序,业务表
production_work_order_process,created_at,DATETIME,YES,NO,,创建时间,业务表
production_work_order_process,updated_at,DATETIME,YES,NO,,更新时间,业务表
production_process_report,report_id,INTEGER,NO,YES,auto_increment,主键,业务表
production_process_report,report_no,VARCHAR(50),NO,NO,,报工单号,业务表
production_process_report,work_order_id,INTEGER,YES,NO,,工单ID,业务表
production_process_report,work_order_no,VARCHAR(50),YES,NO,,工单编号,业务表
production_process_report,report_count,INTEGER,YES,NO,0,报工次数,业务表
production_process_report,process_id,INTEGER,YES,NO,,工序ID,业务表
production_process_report,process_name,VARCHAR(100),YES,NO,,工序名称,业务表
production_process_report,input_qty,DECIMAL(12,2),YES,NO,0,投入数量,业务表
production_process_report,defect_material,DECIMAL(12,2),YES,NO,0,来料不良,业务表
production_process_report,defect_process,DECIMAL(12,2),YES,NO,0,制程不良,业务表
production_process_report,defect_scrap,DECIMAL(12,2),YES,NO,0,检验报废,业务表
production_process_report,output_qty,DECIMAL(12,2),YES,NO,0,产出数量,业务表
production_process_report,device_id,INTEGER,YES,NO,,设备ID,业务表
production_process_report,device_name,VARCHAR(100),YES,NO,,设备名称,业务表
production_process_report,report_user,VARCHAR(50),YES,NO,,报工人,业务表
production_process_report,report_user_name,VARCHAR(50),YES,NO,,报工人姓名,业务表
production_process_report,report_time,DATETIME,YES,NO,,报工时间,业务表
production_process_report,report_start_time,DATETIME,YES,NO,,报工开始时间,业务表
production_process_report,report_end_time,DATETIME,YES,NO,,报工结束时间,业务表
production_process_report,status,TINYINT,YES,NO,0,状态(0开始/1结束),业务表
production_process_report,line_id,INTEGER,YES,NO,,产线ID,业务表
production_process_report,line_name,VARCHAR(100),YES,NO,,产线名称,业务表
production_process_report,material_id,UUID,YES,NO,,料品ID,业务表
production_process_report,material_code,VARCHAR(50),YES,NO,,料品编码,业务表
production_process_report,material_name,VARCHAR(100),YES,NO,,料品名称,业务表
production_process_report,specification,VARCHAR(200),YES,NO,,规格型号,业务表
production_process_report,unit,VARCHAR(20),YES,NO,,单位,业务表
production_process_report,planned_qty,DECIMAL(12,2),YES,NO,0,计划数量,业务表
production_process_report,report_date,DATE,YES,NO,,报工日期,业务表
production_process_report,shift,VARCHAR(20),YES,NO,,班次,业务表
production_process_report,team,VARCHAR(50),YES,NO,,班组,业务表
production_process_report,created_at,DATETIME,YES,NO,,创建时间,业务表
production_process_defect,defect_id,INTEGER,NO,YES,auto_increment,主键,业务表
production_process_defect,report_id,INTEGER,YES,NO,,报工单ID,业务表
production_process_defect,work_order_id,INTEGER,YES,NO,,生产工单ID,业务表
production_process_defect,process_id,INTEGER,YES,NO,,工序ID,业务表
production_process_defect,defect_type_id,INTEGER,YES,NO,,不良分类ID,业务表
production_process_defect,quantity,DECIMAL(12,2),YES,NO,0,数量,业务表
production_process_defect,unit,VARCHAR(20),YES,NO,,单位,业务表
